Reference,Quantity,Value,Description,Manufacturer,MPN,Package,DNP/Optional,Function
U1,1,nRF9161-LACA-R7,LTE-M/NB-IoT/DECT NR+/GNSS SiP (PS v1.0),Nordic Semiconductor,nRF9161-LACA-R7,LGA 16.0x10.5mm,,LTE-M/NB-IoT/DECT NR+/GNSS SiP (PS v1.0)
U2,1,TLV73330PDBV,3.3 V VDD_GPIO LDO; EN tied to ENABLE,Texas Instruments,TLV73330PDBVR,SOT-23-5,,3.3 V VDD_GPIO LDO; EN tied to ENABLE
U4,1,TPD3F303DPV,SIM ESD/EMI filter per nRF91 HDG,Texas Instruments,TPD3F303DPVR,USON-8 1.45x1.45mm,,SIM ESD/EMI filter per nRF91 HDG
C1,1,10uF/16V X5R,VIN bulk after input filter,Murata,GRM21BR61C106ME15,0805,,VIN bulk after input filter
C2,1,100nF 10V X5R,VIN HF decoupling,Murata,GRM155R61A104KA01,0402,,VIN HF decoupling
C3,1,47uF 10V X5R,VDD1 bulk (nRF91 HDG Table 2 C3),Murata,GRM21BR61A476ME15,0805,,VDD1 bulk (nRF91 HDG Table 2 C3)
C4,1,4.7uF 10V X5R,VDD1 mid decoupling (HDG Table 2),Murata,GRM155R61A475MEAA,0402,,VDD1 mid decoupling (HDG Table 2)
C5,1,100nF 10V X5R,VDD1 HF decoupling (HDG Table 2),Murata,GRM033R61A104KE15,0201,,VDD1 HF decoupling (HDG Table 2)
C6,1,15pF 25V C0G,VDD1 RF decoupling (HDG Table 2),Murata,GJM0335C1E150JB01,0201,,VDD1 RF decoupling (HDG Table 2)
C7,1,47uF 10V X5R,VDD2 bulk (HDG Table 2 C10),Murata,GRM21BR61A476ME15,0805,,VDD2 bulk (HDG Table 2 C10)
C8,1,4.7uF 10V X5R,VDD2 mid decoupling,Murata,GRM155R61A475MEAA,0402,,VDD2 mid decoupling
C9,1,100nF 10V X5R,VDD2 HF decoupling,Murata,GRM033R61A104KE15,0201,,VDD2 HF decoupling
C10,1,15pF 25V C0G,VDD2 RF decoupling,Murata,GJM0335C1E150JB01,0201,,VDD2 RF decoupling
C11,1,4.7uF 10V X5R,VDD_GPIO bulk,Murata,GRM155R61A475MEAA,0402,,VDD_GPIO bulk
C12,1,100nF 10V X5R,VDD_GPIO HF,Murata,GRM033R61A104KE15,0201,,VDD_GPIO HF
C13,1,4.7uF 10V X5R,DEC0 (nRF91x1 / PCN134 4.7uF not 47uF),Murata,GRM155R61A475MEAA,0402,,DEC0 (nRF91x1 / PCN134 4.7uF not 47uF)
