net,u1_pads,via_count,nearest_via_mm,headers,unconnected_items,status
COEX0,"93(38.75,37.25)",3,3.850,"J15.1(104.00,62.00)",1,OPEN
COEX1,"92(38.25,37.25)",0,,"J15.2(104.00,63.27)",1,OPEN
COEX2,"91(37.75,37.25)",1,3.850,"J15.3(104.00,64.54)",0,ROUTED
MAGPIO0,"55(28.00,28.50)",0,,"J14.1(104.00,48.00)",1,OPEN
MAGPIO1,"54(28.00,28.00)",1,5.456,"J14.2(104.00,49.27)",1,OPEN
MAGPIO2,"53(28.00,27.50)",1,4.574,"J14.3(104.00,50.54)",1,OPEN
MIPI_SCLK,"58(28.00,30.00)",1,1.300,"J14.5(104.00,53.08)",1,OPEN
MIPI_SDATA,"59(28.00,30.50)",0,,"J14.6(104.00,54.35)",1,OPEN
MIPI_VIO,"57(28.00,29.50)",1,6.102,"J14.4(104.00,51.81)",1,OPEN
P0.00,"95(39.75,37.25)",2,3.850,"J12.1(6.00,76.00)",1,OPEN
P0.01,"96(40.25,37.25)",3,49.339,"J12.2(8.54,76.00)",1,OPEN
P0.02,"97(40.75,37.25)",9,3.850,"J12.3(11.08,76.00)",1,OPEN
P0.03,"99(41.75,37.25)",2,3.850,"J12.4(13.62,76.00)",1,OPEN
P0.04,"100(42.25,37.25)",9,3.050,"J9.4(116.00,15.62);J12.5(16.16,76.00)",0,ROUTED
P0.05,"2(44.00,36.50)",1,3.400,"J9.3(116.00,13.08);J12.6(18.70,76.00)",2,OPEN
P0.06,"3(44.00,36.00)",12,1.150,"J9.1(116.00,8.00);J12.7(21.24,76.00)",0,ROUTED
P0.07,"4(44.00,35.50)",1,3.400,"J9.2(116.00,10.54);J12.8(23.78,76.00)",2,OPEN
P0.08,"15(44.00,30.00)",2,2.200,"J12.9(26.32,76.00)",2,OPEN
P0.09,"16(44.00,29.50)",0,,"J12.10(28.86,76.00);J16.4(108.00,15.62)",2,OPEN
P0.10,"18(44.00,28.50)",1,3.400,"J12.11(31.40,76.00);J16.1(108.00,8.00)",2,OPEN
P0.11,"19(44.00,28.00)",2,4.620,"J12.12(33.94,76.00);J16.2(108.00,10.54)",3,OPEN
P0.12,"20(44.00,27.50)",1,3.400,"J12.13(36.48,76.00);J16.3(108.00,13.08)",2,OPEN
P0.13,"23(42.75,26.75)",2,2.800,"J18.1(38.00,62.00);J12.14(39.02,76.00)",1,OPEN
P0.14,"24(42.25,26.75)",0,,"J18.2(40.54,62.00);J12.15(41.56,76.00)",1,OPEN
P0.15,"25(41.75,26.75)",1,3.650,"J18.3(43.08,62.00);J12.16(44.10,76.00)",0,ROUTED
P0.16,"26(41.25,26.75)",1,5.975,"J18.4(45.62,62.00);J13.1(64.00,76.00)",1,OPEN
P0.17,"28(40.25,26.75)",2,2.800,"J18.5(48.16,62.00);J13.2(66.54,76.00);J17.1(108.00,26.00)",2,OPEN
P0.18,"29(39.75,26.75)",0,,"J18.6(50.70,62.00);J13.3(69.08,76.00);J17.2(108.00,28.54)",2,OPEN
P0.19,"30(39.25,26.75)",1,3.650,"J18.7(53.24,62.00);J13.4(71.62,76.00)",2,OPEN
P0.20,"35(36.75,26.75)",1,5.975,"J18.8(55.78,62.00);J13.5(74.16,76.00)",1,OPEN
P0.21,"37(35.75,26.75)",1,3.650,"J10.1(116.00,28.00);J13.6(76.70,76.00)",2,OPEN
P0.22,"38(35.25,26.75)",1,27.733,"J10.2(116.00,30.54);J13.7(79.24,76.00)",3,OPEN
P0.23,"39(34.75,26.75)",1,3.650,"J10.3(116.00,33.08);J13.8(81.78,76.00)",2,OPEN
P0.24,"40(34.25,26.75)",0,,"J10.4(116.00,35.62);J13.9(84.32,76.00)",2,OPEN
P0.25,"42(33.25,26.75)",1,3.650,"J13.10(86.86,76.00)",1,OPEN
P0.26,"83(33.75,37.25)",1,3.850,"J13.11(89.40,76.00)",1,OPEN
P0.27,"84(34.25,37.25)",0,,"J13.12(91.94,76.00)",1,OPEN
P0.28,"86(35.25,37.25)",1,3.850,"J13.13(94.48,76.00)",1,OPEN
P0.29,"87(35.75,37.25)",0,,"J13.14(97.02,76.00)",1,OPEN
P0.30,"88(36.25,37.25)",1,3.850,"J13.15(99.56,76.00);J11.1(116.00,46.00)",2,OPEN
P0.31,"89(36.75,37.25)",0,,"J13.16(102.10,76.00);J11.2(116.00,48.54)",2,OPEN
VDD_GPIO,"12(44.00,31.50)",9,12.953,"J18.9(58.32,62.00);J9.5(116.00,18.16);J12.17(46.64,76.00);J12.18(49.18,76.00);J10.5(116.00,38.16);J13.18(107.18,76.00);J11.3(116.00,51.08);J17.3(108.00,31.08);J15.5(104.00,67.08);J16.5(108.00,18.16)",5,OPEN
