PIN,FUNCTION,SCHEMATIC_CONNECTION,PCB_CONNECTION,STATUS,FINAL_PCB_STATUS
1,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
2,P0.05,J12 / UART RTS J9,See PCB net P0.05,EXTERNAL HEADER,U1 pad netted P0.05
3,P0.06,J12 / UART TX J9,See PCB net P0.06,EXTERNAL HEADER,U1 pad netted P0.06
4,P0.07,J12 / UART RX J9,See PCB net P0.07,EXTERNAL HEADER,U1 pad netted P0.07
5,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
6,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
7,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
8,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
9,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
10,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
11,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
12,VDD_GPIO,VDD_GPIO from TLV73330,See PCB net VDD_GPIO,USED,OPEN airwire net=VDD_GPIO
13,DEC0,C13 4.7uF (PCN134),See PCB net DEC0,USED,U1 pad netted DEC0
14,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
15,P0.08,J12 + USER SW3,See PCB net P0.08,USED,U1 pad netted P0.08
16,P0.09,J12 / I2S SDIN J16,See PCB net P0.09,EXTERNAL HEADER,OPEN airwire net=P0.09
17,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
18,P0.10,J12 / I2S SCK J16,See PCB net P0.10,EXTERNAL HEADER,U1 pad netted P0.10
19,P0.11,J12 / I2S LRCK J16,See PCB net P0.11,EXTERNAL HEADER,OPEN airwire net=P0.11
20,P0.12,J12 / I2S SDOUT J16,See PCB net P0.12,EXTERNAL HEADER,OPEN airwire net=P0.12
21,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
22,VDD2,VDD2 via FB2+FB3 + C7-C10,See PCB net VDD2,USED,U1 pad netted VDD2
23,P0.13_AIN0,J12 / ADC J18,See PCB net P0.13_AIN0,EXTERNAL HEADER,U1 pad netted P0.13
24,P0.14_AIN1,J12 / ADC J18,See PCB net P0.14_AIN1,EXTERNAL HEADER,OPEN airwire net=P0.14
25,P0.15_AIN2,J12 / ADC J18,See PCB net P0.15_AIN2,EXTERNAL HEADER,U1 pad netted P0.15
26,P0.16_AIN3,J13 / ADC J18,See PCB net P0.16_AIN3,EXTERNAL HEADER,U1 pad netted P0.16
27,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
28,P0.17_AIN4,J13 / ADC J18 / PDM CLK J17,See PCB net P0.17_AIN4,EXTERNAL HEADER,U1 pad netted P0.17
29,P0.18_AIN5,J13 / ADC J18 / PDM DIN J17,See PCB net P0.18_AIN5,EXTERNAL HEADER,OPEN airwire net=P0.18
30,P0.19_AIN6,J13 / ADC J18,See PCB net P0.19_AIN6,EXTERNAL HEADER,U1 pad netted P0.19
31,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
32,~{RESET},"R5 1k, SW2, J8 pin 8, TP9",See PCB net ~{RESET},USED,U1 pad netted nRESET
33,SWDCLK,J8 pin 4 + TP8,See PCB net SWDCLK,USED,OPEN airwire net=SWDCLK
34,SWDIO,J8 pin 2 + TP7,See PCB net SWDIO,USED,U1 pad netted SWDIO
35,P0.20_AIN7,J13 / ADC J18,See PCB net P0.20_AIN7,EXTERNAL HEADER,OPEN airwire net=P0.20
36,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
37,P0.21_TRACECLK,J13 / SPI SCK J10,See PCB net P0.21_TRACECLK,EXTERNAL HEADER,OPEN airwire net=P0.21
38,P0.22_TRACEDATA0,J13 / SPI MOSI J10 / SWO J8.6,See PCB net P0.22_TRACEDATA0,EXTERNAL HEADER,OPEN airwire net=P0.22
39,P0.23_TRACEDATA1,J13 / SPI MISO J10,See PCB net P0.23_TRACEDATA1,EXTERNAL HEADER,OPEN airwire net=P0.23
40,P0.24_TRACEDATA2,J13 / SPI CS J10,See PCB net P0.24_TRACEDATA2,EXTERNAL HEADER,OPEN airwire net=P0.24
41,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
42,P0.25_TRACEDATA3,J13,See PCB net P0.25_TRACEDATA3,EXTERNAL HEADER,U1 pad netted P0.25
43,SIM_RST,TPD3F303 -> J7,See PCB net SIM_RST,USED,OPEN airwire net=SIM_RST
44,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
45,SIM_DET,Must float (PS). Mechanical CD on J7/TP6 only,See PCB net SIM_DET,NC,"FLOATING (SIM_DET, as designed)"
46,SIM_CLK,TPD3F303 -> J7,See PCB net SIM_CLK,USED,OPEN airwire net=SIM_CLK
47,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
48,SIM_IO,TPD3F303 -> J7,See PCB net SIM_IO,USED,OPEN airwire net=SIM_IO
49,SIM_1V8,SIM VCC via JP2,See PCB net SIM_1V8,USED,OPEN airwire net=SIM_1V8
50,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
51,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
52,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
53,MAGPIO2,J14,See PCB net MAGPIO2,EXTERNAL HEADER,OPEN airwire net=MAGPIO2
54,MAGPIO1,J14,See PCB net MAGPIO1,EXTERNAL HEADER,OPEN airwire net=MAGPIO1
55,MAGPIO0,J14,See PCB net MAGPIO0,EXTERNAL HEADER,OPEN airwire net=MAGPIO0
56,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
57,MIPI_VIO,J14,See PCB net MIPI_VIO,EXTERNAL HEADER,OPEN airwire net=MIPI_VIO
58,MIPI_SCLK,J14,See PCB net MIPI_SCLK,EXTERNAL HEADER,OPEN airwire net=MIPI_SCLK
59,MIPI_SDATA,J14,See PCB net MIPI_SDATA,EXTERNAL HEADER,OPEN airwire net=MIPI_SDATA
60,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
61,ANT,ANT -> L1 0R/pi DNP -> J2 U.FL / J3 SWF,See PCB net ANT,RF,U1 pad netted ANT
62,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
63,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
64,AUX,AUX -> L2/pi DNP -> TP1,See PCB net AUX,RF,U1 pad netted AUX
