Net,Source,Destination,Current layer,Current copper,Problem,Proposed solution,Status
MAGPIO1,"Track [MAGPIO1] on F.Cu, length 2.4000 mm",PTH pad 2 [MAGPIO1] of J14,F.Cu+B.Cu,"(28.000,28.000)-(104.000,49.270)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
GND,"Zone [GND] on F.Cu, priority 0","Zone [GND] on F.Cu, priority 0",F.Cu,"(-0.050,-0.050)-(-0.050,-0.050)","GND F.Cu zone island (plane, not a missing GPIO hop)",refill/stitch GND; no dummy copper,plane|class E|prio GND|OPEN
MIPI_VIO,"Track [MIPI_VIO] on F.Cu, length 3.3500 mm",PTH pad 4 [MIPI_VIO] of J14,F.Cu+B.Cu,"(28.000,29.500)-(104.000,51.810)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
AUX_FIT,Pad 1 [AUX_FIT] of C24 on F.Cu,Pad 2 [AUX_FIT] of L2 on F.Cu,F.Cu,"(19.520,56.000)-(19.515,33.000)",DNP 50Ω shunt stub not tied to existing same-net trunk,optional stub to existing same-net copper; do not rewrite 50Ω trunks,DNP|class C|prio DNP|OPEN
P0.10,Pad 18 [P0.10] of U1 on F.Cu,PTH pad 11 [P0.10] of J12,F.Cu+B.Cu,"(44.000,28.500)-(31.400,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.10,"Track [P0.10] on F.Cu, length 3.4000 mm",PTH pad 1 [P0.10] of J16,F.Cu+B.Cu,"(44.000,28.500)-(108.000,8.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.22,Pad 38 [P0.22] of U1 on F.Cu,PTH pad 7 [P0.22] of J13,F.Cu+B.Cu,"(35.250,26.750)-(79.240,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.22,Pad 6 [P0.22] of J8 on F.Cu,Pad 38 [P0.22] of U1 on F.Cu,F.Cu,"(51.950,6.000)-(35.250,26.750)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.22,PTH pad 7 [P0.22] of J13,PTH pad 2 [P0.22] of J10,F.Cu+B.Cu,"(79.240,76.000)-(116.000,30.540)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
P0.16,"Track [P0.16] on B.Cu, length 12.0000 mm",Pad 26 [P0.16] of U1 on F.Cu,F.Cu+B.Cu,"(45.620,74.000)-(41.250,26.750)",U1 pad island not joined to header/existing copper,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
P0.17,Pad 28 [P0.17] of U1 on F.Cu,"Track [P0.17] on B.Cu, length 11.4000 mm",F.Cu+B.Cu,"(40.250,26.750)-(48.160,73.400)",U1 pad island not joined to header/existing copper,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
P0.17,"Track [P0.17] on B.Cu, length 2.6000 mm",PTH pad 1 [P0.17] of J17,F.Cu+B.Cu,"(66.540,76.000)-(108.000,26.000)",routing gap between copper islands,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
P0.31,Pad 89 [P0.31] of U1 on F.Cu,PTH pad 16 [P0.31] of J13,F.Cu+B.Cu,"(36.750,37.250)-(102.100,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.31,PTH pad 16 [P0.31] of J13,PTH pad 2 [P0.31] of J11,F.Cu+B.Cu,"(102.100,76.000)-(116.000,48.540)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
