net,class,dist_mm,ax,ay,a,bx,by,b
COEX0,A,17.057,38.7500,37.2500,"Track [COEX0] on F.Cu, length 3.8500 mm",31.1100,22.0000,Via [COEX0] on F.Cu - B.Cu
COEX1,A,70.711,38.2500,37.2500,Pad 92 [COEX1] of U1 on F.Cu,104.0000,63.2700,PTH pad 2 [COEX1] of J15
MAGPIO0,A,78.462,28.0000,28.5000,Pad 55 [MAGPIO0] of U1 on F.Cu,104.0000,48.0000,PTH pad 1 [MAGPIO0] of J14
MAGPIO1,A,78.920,28.0000,28.0000,"Track [MAGPIO1] on F.Cu, length 2.4000 mm",104.0000,49.2700,PTH pad 2 [MAGPIO1] of J14
MAGPIO2,A,79.416,28.0000,27.5000,Pad 53 [MAGPIO2] of U1 on F.Cu,104.0000,50.5400,PTH pad 3 [MAGPIO2] of J14
MIPI_SCLK,A,79.427,104.0000,53.0800,PTH pad 5 [MIPI_SCLK] of J14,28.0000,30.0000,Pad 58 [MIPI_SCLK] of U1 on F.Cu
MIPI_SDATA,A,79.654,28.0000,30.5000,Pad 59 [MIPI_SDATA] of U1 on F.Cu,104.0000,54.3500,PTH pad 6 [MIPI_SDATA] of J14
MIPI_VIO,A,79.207,28.0000,29.5000,Pad 57 [MIPI_VIO] of U1 on F.Cu,104.0000,51.8100,PTH pad 4 [MIPI_VIO] of J14
P0.00,A,43.678,79.4900,19.1258,"Track [P0.00] on F.Cu, length 0.6500 mm",39.7500,37.2500,"Track [P0.00] on F.Cu, length 3.8500 mm"
P0.01,A,50.913,40.2500,37.2500,Pad 96 [P0.01] of U1 on F.Cu,86.1400,15.2000,"Track [P0.01] on B.Cu, length 58.4900 mm"
P0.02,A,54.269,40.7500,37.2500,"Track [P0.02] on F.Cu, length 3.8500 mm",91.4900,18.0000,"Track [P0.02] on F.Cu, length 1.1258 mm"
P0.03,A,58.970,41.7500,37.2500,Pad 99 [P0.03] of U1 on F.Cu,97.4900,18.0000,"Track [P0.03] on F.Cu, length 1.1258 mm"
P0.05,A,46.908,44.0000,36.5000,Pad 2 [P0.05] of U1 on F.Cu,18.7000,76.0000,PTH pad 6 [P0.05] of J12
P0.05,A,75.713,44.0000,36.5000,"Track [P0.05] on F.Cu, length 3.4000 mm",116.0000,13.0800,PTH pad 3 [P0.05] of J9
P0.07,A,45.267,44.0000,35.5000,Pad 4 [P0.07] of U1 on F.Cu,23.7800,76.0000,PTH pad 8 [P0.07] of J12
P0.07,A,76.204,44.0000,35.5000,"Track [P0.07] on F.Cu, length 3.4000 mm",116.0000,10.5400,PTH pad 2 [P0.07] of J9
P0.09,A,48.903,44.0000,29.5000,Pad 16 [P0.09] of U1 on F.Cu,28.8600,76.0000,PTH pad 10 [P0.09] of J12
P0.09,A,65.488,108.0000,15.6200,PTH pad 4 [P0.09] of J16,44.0000,29.5000,Pad 16 [P0.09] of U1 on F.Cu
P0.10,A,49.143,44.0000,28.5000,Pad 18 [P0.10] of U1 on F.Cu,31.4000,76.0000,PTH pad 11 [P0.10] of J12
P0.10,A,67.203,44.0000,28.5000,"Track [P0.10] on F.Cu, length 3.4000 mm",108.0000,8.0000,PTH pad 1 [P0.10] of J16
P0.11,A,4.620,48.6200,28.0000,"Track [P0.11] on F.Cu, length 1.3000 mm",44.0000,28.0000,Pad 19 [P0.11] of U1 on F.Cu
P0.11,A,49.043,44.0000,28.0000,Pad 19 [P0.11] of U1 on F.Cu,33.9400,76.0000,PTH pad 12 [P0.11] of J12
P0.11,A,61.894,108.0000,10.5400,PTH pad 2 [P0.11] of J16,48.6200,28.0000,"Track [P0.11] on F.Cu, length 1.3000 mm"
P0.12,A,49.080,44.0000,27.5000,"Track [P0.12] on F.Cu, length 3.4000 mm",36.4800,76.0000,PTH pad 13 [P0.12] of J12
P0.12,A,65.604,44.0000,27.5000,"Track [P0.12] on F.Cu, length 3.4000 mm",108.0000,13.0800,PTH pad 3 [P0.12] of J16
P0.13,A,51.619,42.7500,26.7500,"Track [P0.13] on F.Cu, length 3.6500 mm",38.0000,78.1500,"Track [P0.13] on B.Cu, length 16.1500 mm"
P0.14,A,51.428,42.2500,26.7500,Pad 24 [P0.14] of U1 on F.Cu,40.5400,78.1500,"Track [P0.14] on B.Cu, length 16.1500 mm"
P0.16,A,35.520,45.6200,62.0000,PTH pad 4 [P0.16] of J18,41.2500,26.7500,Pad 26 [P0.16] of U1 on F.Cu
P0.17,A,47.316,40.2500,26.7500,Pad 28 [P0.17] of U1 on F.Cu,48.1600,73.4000,"Track [P0.17] on B.Cu, length 11.4000 mm"
P0.17,A,64.953,66.5400,76.0000,"Track [P0.17] on B.Cu, length 2.6000 mm",108.0000,26.0000,PTH pad 1 [P0.17] of J17
P0.18,A,47.334,50.7000,72.8000,"Track [P0.18] on B.Cu, length 10.8000 mm",39.7500,26.7500,Pad 29 [P0.18] of U1 on F.Cu
P0.18,A,61.378,69.0800,76.0000,"Track [P0.18] on B.Cu, length 3.2000 mm",108.0000,28.5400,PTH pad 2 [P0.18] of J17
P0.19,A,37.925,39.2500,26.7500,Pad 30 [P0.19] of U1 on F.Cu,53.2400,62.0000,PTH pad 7 [P0.19] of J18
P0.20,A,39.094,55.7800,60.9000,"Track [P0.20] on F.Cu, length 18.3800 mm",36.7500,26.7500,"Track [P0.20] on F.Cu, length 5.9754 mm"
P0.21,A,64.050,35.7500,26.7500,"Track [P0.21] on F.Cu, length 3.6500 mm",76.7000,76.0000,PTH pad 6 [P0.21] of J13
P0.22,A,26.636,51.9500,6.0000,Pad 6 [P0.22] of J8 on F.Cu,35.2500,26.7500,Pad 38 [P0.22] of U1 on F.Cu
P0.22,A,66.035,35.2500,26.7500,Pad 38 [P0.22] of U1 on F.Cu,79.2400,76.0000,PTH pad 7 [P0.22] of J13
P0.23,A,68.098,34.7500,26.7500,Pad 39 [P0.23] of U1 on F.Cu,81.7800,76.0000,PTH pad 8 [P0.23] of J13
P0.24,A,70.232,34.2500,26.7500,Pad 40 [P0.24] of U1 on F.Cu,84.3200,76.0000,PTH pad 9 [P0.24] of J13
