net,class,dist_mm,ax,ay,a,bx,by,b,note
ENABLE,F,16.027,47.6800,22.0000,Pad 1 [ENABLE] of C14 on F.Cu,42.7500,37.2500,Pad 101 [ENABLE] of U1 on F.Cu,"short F.Cu island / local via (power, bias, SWD, P0.08 F-to-B)"
ENABLE,F,2.342,50.0000,21.6800,Pad 2 [ENABLE] of R1 on F.Cu,47.6800,22.0000,Pad 1 [ENABLE] of C14 on F.Cu,"short F.Cu island / local via (power, bias, SWD, P0.08 F-to-B)"
ENABLE,F,41.952,52.0000,40.9500,"Track [ENABLE] on F.Cu, length 20.8625 mm",90.3750,24.0000,Pad 1 [ENABLE] of SW1 on F.Cu,"short F.Cu island / local via (power, bias, SWD, P0.08 F-to-B)"
MAGPIO1,A,78.920,28.0000,28.0000,Pad 54 [MAGPIO1] of U1 on F.Cu,104.0000,49.2700,PTH pad 2 [MAGPIO1] of J14,U1/via to primary header (private B.Cu column)
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0","GND zone-to-zone; refill/stitch, no dummy copper"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0","GND zone-to-zone; refill/stitch, no dummy copper"
GND,E,0.000,-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0",-0.0500,-0.0500,"Zone [GND] on F.Cu, priority 0","GND zone-to-zone; refill/stitch, no dummy copper"
MIPI_VIO,A,79.207,28.0000,29.5000,"Track [MIPI_VIO] on F.Cu, length 3.3500 mm",104.0000,51.8100,PTH pad 4 [MIPI_VIO] of J14,U1/via to primary header (private B.Cu column)
AUX_FIT,C,23.000,19.5200,56.0000,Pad 1 [AUX_FIT] of C24 on F.Cu,19.5150,33.0000,"Track [AUX_FIT] on F.Cu, length 7.5150 mm",DNP RF shunt: short same-net stub; do not rewrite 50 ohm trunks
P0.10,A,49.143,44.0000,28.5000,"Track [P0.10] on F.Cu, length 3.4000 mm",31.4000,76.0000,PTH pad 11 [P0.10] of J12,U1/via to primary header (private B.Cu column)
P0.10,A,63.974,47.4000,28.5000,Via [P0.10] on F.Cu - B.Cu,108.0000,8.0000,PTH pad 1 [P0.10] of J16,U1/via to primary header (private B.Cu column)
SIM_CLK_C,F,22.718,77.7500,54.7000,"Track [SIM_CLK_C] on F.Cu, length 1.1258 mm",98.5400,45.5400,"Track [SIM_CLK_C] on F.Cu, length 0.6500 mm",SIM local 0402-U4-J7 F.Cu jogs
P0.22,A,66.035,35.2500,26.7500,Pad 38 [P0.22] of U1 on F.Cu,79.2400,76.0000,PTH pad 7 [P0.22] of J13,U1/via to primary header (private B.Cu column)
P0.22,A,26.636,51.9500,6.0000,"Track [P0.22] on F.Cu, length 1.7000 mm",35.2500,26.7500,Pad 38 [P0.22] of U1 on F.Cu,U1/via to primary header (private B.Cu column)
P0.22,G,58.463,79.2400,76.0000,PTH pad 7 [P0.22] of J13,116.0000,30.5400,PTH pad 2 [P0.22] of J10,header duplicate branch from primary J12/J13
P0.16,A,35.520,41.2500,26.7500,Pad 26 [P0.16] of U1 on F.Cu,45.6200,62.0000,PTH pad 4 [P0.16] of J18,U1/via to primary header (private B.Cu column)
P0.16,G,23.105,45.6200,62.0000,PTH pad 4 [P0.16] of J18,64.0000,76.0000,PTH pad 1 [P0.16] of J13,header duplicate branch from primary J12/J13
P0.04,A,46.715,42.2500,37.2500,Pad 100 [P0.04] of U1 on F.Cu,16.1600,76.0000,PTH pad 5 [P0.04] of J12,U1/via to primary header (private B.Cu column)
P0.04,A,76.856,116.0000,15.6200,PTH pad 4 [P0.04] of J9,42.2500,37.2500,Pad 100 [P0.04] of U1 on F.Cu,U1/via to primary header (private B.Cu column)
P0.17,A,36.127,40.2500,26.7500,"Track [P0.17] on F.Cu, length 3.6500 mm",48.1600,62.0000,PTH pad 5 [P0.17] of J18,U1/via to primary header (private B.Cu column)
P0.17,G,23.105,48.1600,62.0000,PTH pad 5 [P0.17] of J18,66.5400,76.0000,PTH pad 2 [P0.17] of J13,header duplicate branch from primary J12/J13
